TAXID	NAME	SOURCE	LOCATION	HOST	DISEASE
46125	Abiotrophia defectiva	Human clinical samples		human	endocarditis
32002	Achromobacter denitrificans	nasopharynx	USA:Kansas	cattle; human	bacteremia; infections
72556	Achromobacter piechaudii	Human clinical samples		human	bacteremia; infections
562971	Achromobacter xylosoxidans C54	non-cystic fibrosis bronchiectasis sputum		human	bacteremia; infections
85698	Achromobacter xylosoxidans	Broviac blood; sputum; lung;pus	USA:DC; USA: Minneapolis; Japan	human	bacteremia; infections
905	Acidaminococcus fermentans	Human clinical samples		whales; human	Unknown
397945	Acidovorax citrulli AAC00-1	fruit		cucumber family	Bacterial fruit blotch
696749	Acinetobacter baumannii 1656-2	Human clinical samples		human	Nosocomial infections
470	Acinetobacter baumannii	Bodily fluid; human clinical samples	Colombia; UK; Canada; US; Malaysia; India; Australia; South Korea; China	human	Nosocomial infections
480119	Acinetobacter baumannii AB0057	bloodstream infection of a patient at Walter Reed Army Medical Center	Walter Reed Army Medical Center	human	Nosocomial infections
1413216	Acinetobacter baumannii AB07	wound infection of a hospitalized patient	India: Pondicherry	human	Nosocomial infections
557600	Acinetobacter baumannii AB307-0294	the blood of a hospitalized patient	USA: Buffalo NY	human	Nosocomial infections
405416	Acinetobacter baumannii ACICU	outbreak	Rome	human	Nosocomial infections
400667	Acinetobacter baumannii ATCC 17978	case of meningitis		human	Nosocomial infections
509173	Acinetobacter baumannii AYE	Human clinical samples		human	Nosocomial infections
1096995	Acinetobacter baumannii BJAB07104	Blood	China: Beijing	human	Nosocomial infections
1096996	Acinetobacter baumannii BJAB0715	cerebrospinal fluid	China: Beijing	human	Nosocomial infections
1096997	Acinetobacter baumannii BJAB0868	ascites	China: Beijing	human	Nosocomial infections
1455315	Acinetobacter baumannii LAC-4	unavailable	USA: Los Angeles County; California	human	Bacterial infection
497978	Acinetobacter baumannii MDR-ZJ06	Human clinical samples		human	Nosocomial infections
509170	Acinetobacter baumannii SDF	body lice collected from hoMeless people living	France	sucking lice; humanus	Nosocomial infections
106648	Acinetobacter berezinae	Human clinical samples		human	Bloodstream infection
471	Acinetobacter calcoaceticus	Human clinical samples		mosquito; human; white birch; bees; house fly; Plectranthus barbatus; black nightshade; cultivated oats; quickbeam; Gynura procumbens; eudicots; Lantana camara; ginger; Turbo kenwilliamsi; butterflies; ribgrass	infections
29430	Acinetobacter haemolyticus	Human clinical samples		mosquitos; house fly; human; Colorado potato beetle; eudicots	Bloodstream infection
40214	Acinetobacter johnsonii	Human clinical samples		beet; mosquitos; human; Ulva rigida; tiger puffer; poplars; Tectona grandis; Mexican yew	Bloodstream infection
40215	Acinetobacter junii	Human clinical samples		mosquito; human; Ulva rigida; fungi; Nicotiana attenuata; stone flounder; fishes; channel catfish; Amur sturgeon; Apocynum venetum	Bloodstream infection
28090	Acinetobacter lwoffii	Human clinical samples		narrowleaf purple coneflower; mosquito; mosquitos; sweet banana; human; tiger puffer; Ulva australis; poplars; Chinese forest musk deer; beetles; maize; Mexican yew	Bloodstream infection
134533	Acinetobacter parvus	Human clinical samples		human	Bloodstream infection
40216	Acinetobacter radioresistens	Human clinical samples		mosquito; mosquitos; human; eudicots; African oil palm	Bloodstream infection
465797	Acinetobacter septicus	Human clinical samples		human	Bloodstream infection
108980	Acinetobacter ursingii	Human clinical samples		Jayanti rohu; human	Bloodstream infection
106654	Acinetobacter nosocomialis strain 6411	Excreted bodily substance	Colombia	human	infections
1324350	Acinetobacter sp. 114	ungulates dung	Germany:Minsleben	ungulates	infections
202947	Actinobacillus equuli subsp. equuli 19392			pig; ungulates	sleepy foal disease
719	Actinobacillus hominis			human	infections
720	Actinobacillus lignieresii			whales; cattle; human	Opportunistic infections
434271	Actinobacillus pleuropneumoniae serovar 3 str. JL03			pig	Fibrinous pleuropneumonia; Necrotizing pleuropneumonia
416269	Actinobacillus pleuropneumoniae serovar 5b str. L20			pig	Fibrinous pleuropneumonia; Necrotizing pleuropneumonia
537457	Actinobacillus pleuropneumoniae serovar 7 str. AP76	pig lung		pig	Fibrinous pleuropneumonia; Necrotizing pleuropneumonia
754345	Actinobacillus pleuropneumoniae serovar 8	pig lung		pig	Fibrinous pleuropneumonia; Necrotizing pleuropneumonia
696748	Actinobacillus suis H91-0380	pig with septicemia		pig	Septicemia
723	Actinobacillus ureae			human	infections
59505	Actinobaculum schaalii strain CCUG 27420	Human blood; chronic pyelonephritis;64-yr-old man	Sweden: Kristianstad	human	infections
240840	Actinomadura meyerae	Human clinical samples		human	infections
1993	Actinomadura madurae	Human clinical samples		human	infections
111805	Actinomadura pelletieri	Human clinical samples		human	infections
181487	Actinomyces cardiffensis	Human clinical samples		human	actinomycosis
272548	Actinomyces dentalis	Human clinical samples		human	dental abcesses
52767	Actinomyces denticolens	Human clinical samples		human	abcesses
132933	Actinomyces funkei	Human clinical samples		human	actinomycosis
52768	Actinomyces georgiae	Human clinical samples		human	actinomycosis
52769	Actinomyces gerencseriae	Human clinical samples		human	actinomycosis
55565	Actinomyces graevenitzii	Human clinical samples		human	actinomycosis
1659	Actinomyces israelii	Human clinical samples		human	actinomycosis
461393	Actinomyces massiliensis	Human clinical samples		human	infections
52773	Actinomyces meyeri strain W712	curette	United Kingdom: London	human	actinomycosis; brain abcesses
1655	Actinomyces naeslundii	human oral cavity		human	actinomycosis; periodontitis
33007	Actinomyces neuii	Human clinical samples		human	actinomycosis
1660	Actinomyces odontolyticus	Human clinical samples		human	actinomycosis
206043	Actinomyces oricola	dental abcess		human	dental abcesses
544580	Actinomyces oris strain T14V	human oral cavity	USA: Boston; MA	human	periodontitis
111015	Actinomyces radicidentis strain CCUG 36733	human oral cavity	Sweden	human	periodontitis
131110	Actinomyces radingae	Human clinical samples		human	actinomycosis
131111	Actinomyces turicensis	Human clinical samples		human	infections
103621	Actinomyces urogenitalis	Human clinical samples		human	bacteremia
1656	Actinomyces viscosus	Human clinical samples		human; Canis dog	actinomycosis
712122	Actinomyces sp. oral taxon 414 strain F0588	curette	USA: Boston; MA	human	periodontitis
1384484	Adlercreutzia equolifaciens DSM 19450	human faeces		human	Unknown
87541	Aerococcus christensenii strain CCUG28831	Human vagina	USA: Washington	human	bacterial vaginosis
119206	Aerococcus sanguinicola strain CCUG43001	Human blood	Denmark: Esbjerg	human	bacteremia; UTI
866775	Aerococcus urinae ACS-120-V-Col10a	Human clinical samples		human	bacteremia; UTI
1376	Aerococcus urinae strain CCUG36881	Human urine	Denmark: Copenhagen	human	bacteremia; UTI
51665	Aerococcus urinaeequi strain CCUG28094	Equus caballusurine (ungulates)	Not applicable	ungulates	bacteremia; UTI
51665	Aerococcus urinaeequi strain USDA-ARS-USMARC-56713	nasopharynx	USA:Kansas	cattle	bacteremia; UTI
128944	Aerococcus urinaehominis strain CCUG42038B	Human urine	Sweden: Linkoping	human	bacteremia; UTI
1377	Aerococcus viridans	Human clinical samples		cattle; human	bacteremia
642	Aeromonas aquariorum	Human clinical samples		human	septicemia
105751	Aeromonas bestiarum	Human clinical samples		European freshwater eel; Atlantic salmon; human; sea lampreys; Onchorhynchus mykiss	infections
648	Aeromonas caviae strain FDAARGOS_72	Stool	USA	human	traveler's diarrhea
648	Aeromonas caviae strain FDAARGOS_75	Stool	USA	human	traveler's diarrhea
29489	Aeromonas enteropelogenes	Human clinical samples		black pomfret; mosquito; mosquitos; human; red swamp crayfish	infections
1418110	Aeromonas hydrophila AL09-71		USA: Alabama	channel catfish	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
1288394	Aeromonas hydrophila ML09-119	disease outbreak on a commercial catfish farm; it is representative of a clonal group of A	USA: Alabama	channel catfish	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
644	Aeromonas hydrophila strain D4	diseased Megalobrama amblycephala	China: Dong xihu; Wuhan	Chinese blunt snout bream	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
644	Aeromonas hydrophila strain JBN2301	Blood of diseased crucian carp	China: Guanqiao fishery farm	crucian carp	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	canned milk from the United States		human	Gastroenteritis; Septicemia
382245	Aeromonas Salmonicida subsp. Salmonicida A449	brown trout with furunculosis		river trout	Furunculosis
652	Aeromonas schubertii strain WL1483		China: Foshan city;Guangdong Province	Ophiocephalus argus	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
646	Aeromonas sobria			whales; Chinese longsnout catfish; mosquitos; river trout; human; crucian carp; butter catfish; chub; Prussian carp; fishes; weather loach; grass carp; channel catfish; Onchorhynchus mykiss; Chinese softshell turtle; freshwater bream	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
324617	Aeromonas tecta			human	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
654	Aeromonas veronii			human	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
754507	Aggregatibacter Actinomycetemcomitans ANH9381	Aggregatibacter Actinomycetemcomitans cultivated from a subgingival plaque sample of a periodontally non-diseased subject		human	Periodontitis
668336	Aggregatibacter Actinomycetemcomitans D11S-1	subject with aggressive periodontitis		human	Periodontitis
272556	Aggregatibacter Actinomycetemcomitans HK1651	Subgingival plaque of patients with aggressive periodontitis	USA	human	periodontitis
1407647	Aggregatibacter Actinomycetemcomitans NUM4039	human periodontal pockets with chronic periodontitis (Mol Oral Microbiol 25(6): 200-206; 2010		human	periodontitis
634176	Aggregatibacter aphrophilus NJ8700	An oral isolate from a healthy individual	USA	human	abcesses
732	Aggregatibacter aphrophilus strain W10433		United Kingdom: London	human	brain abcesses
358	Agrobacterium radiobacter			human	bacteremia
739	Aggregatibacter segnis			Chinese softshell turtle; human	infections
160699	Agrobacterium larrymoorei			human; field mustard; kidney-vetch; eudicots; monocots	Unknown
359	Agrobacterium rhizogenes			peach; human; wild soybean; highbush blueberry; Calliandra houstoniana; eudicots; cytisus striatus; black locust; jump-and-go; erythrophleum fordii	bacteremia
358	Agrobacterium tumefaciens			sweet banana; mamon; cowpea; lotus corniculatus; poplars; eudicots; sophora alopecuroides; common hop; lucerne; smooth rattlebox; sansam; acacia longifolia; medicago lupulina; lemna minor; prosopis juliflora; bird vetch; bistorta vivipara; human; black nightshade; radish; caragana korshinskii; black locust; tobacco; wine grape; tomato; maranga; sweet almond; senna surattensis; phyla canescens; field mustard; bursaphelenchus mucronatus; highbush blueberry; zhu ma; ramontchi; medicago polymorpha; sour cherry; soybeans; pinewood nematode; myrobalan plum; peonies; California blackberry; natoba; peach; acacia seyal; parthenium hysterophorus; kidney-vetch; wild soybean; burningbush; dan shen; pear; American upland cotton; European red raspberry; monocots	Endocarditis; CAPD peritonitis; UTI; line sepsis
311402	Agrobacterium vitis S4			various plants	Crown gall
153730	Agrococcus baldri			human	Unknown
32001	Alcaligenes odorans	Human clinical samples	various	human	septicemia; urinary tract infections
511	Alcaligenes faecalis	Human clinical samples	various	human	septicemia; urinary tract infections
316275	Aliivibrio salmonicida LFI1238			Salmonid fish	Hitra disease
679935	Alistipes finegoldii DSM 17242	Human appendix tissue	USA	human	Appendicitis; peritonitis; abdominal abscess
328813	Alistipes onderdonkii			human	Appendicitis; peritonitis; abdominal abscess
717959	Alistipes shahii WAL 8301			human	infections
1652	Alloiococcus otitis			human	Otitis media
33032	Anaerococcus lactolyticus	Human clinical samples		human	infections; abcesses
525919	Anaerococcus prevotii DSM 20548	human plasma		human	infections; abcesses
33036	Anaerococcus tetradius			human	infections; abcesses
156456	Anaeroglobus geminatus			human	infections
105841	Anaerostipes caccae			human	Unknown
574556	Anaplasma centrale str. Israel			human	Anaplasmosis
1412841	Anaplasma marginale str. Dawn	blood		cattle	Unknown
320483	Anaplasma marginale str. Florida	pooled blood samples from naturally infected cattle	Florida	cattle	Anaplasmosis
1412840	Anaplasma marginale str. Gypsy Plains	blood; Gypsy Plains	Australia	cattle	Unknown
234826	Anaplasma marginale str. St. Maries	acutely infected cow from Northern Idaho and bears an msp1a genotype of JBB	Northern Idaho	cattle	Anaplasmosis
142058	Anaplasma Ovis			Argas persicus; whales; Haemaphysalis concinna; human; Haemaphysalis punctata; castor bean tick; mule deer; cattle; rodents; brown dog tick; Western roe deer; Dermacentor niveus	Anaplasmosis
212042	Anaplasma phagocytophilum HZ	patient	New York USA	human	Human granulocytic anaplasmosis
1359152	Anaplasma phagocytophilum str. ApMUC09		Netherlands	dog	Anaplasmosis
1359153	Anaplasma phagocytophilum str. ApNP		Austria	dog	Anaplasmosis
1359155	Anaplasma phagocytophilum str. ApWI1		USA	human	Anaplasmosis
1359159	Anaplasma phagocytophilum str. HGE2		USA	human	Anaplasmosis
1359162	Anaplasma phagocytophilum str. Webster		USA	human	Anaplasmosis
59561	Arcanobacterium bernardiae			human	infections
28264	Arcanobacterium haemolyticum			human; Eurasian badger; ungulates	Tonsillitis; cellulitis; lymphadenopathy; brain abscess; septicaemia; osteomyelitis
1661	Arcanobacterium pyogenes			wisent; human; ungulates; black-tailed gazelle; Naemorhedus goral; pig; cattle; white-tailed deer	wound infection
367737	Arcobacter butzleri RM4018	human patient with gastroenteritis		human	Gastroenteritis; Bacteremia
28198	Arcobacter cryaerophilus			pig; cattle; human	Abdominal cramps; diarrhoea
162496	Arthrobacter creatinolyticus			mosquito; human	UTI; bacteraemia; skin infection
257984	Arthrobacter mysorens	Human clinical sample		human	skin infection
156980	Arthrobacter woluwensis			human	UTI; bacteraemia; skin infection
91915	Asaia bogorensis			Tetraponera rufonigra; mango; human; Michelia champaca	peritonitis; bacteremia
415421	Asaia lannaensis			human	peritonitis; bacteremia
322098	Aster yellows witches'-broom phytoplasma AYWB			plants	Aster yellows phytoplasma
521095	Atopobium parvulum DSM 20469	the gingival crevices of the human oral cavity		human	UTI; dental abscesses; pelvic abscesses; wound infection
1383	Atopobium rimae			human	bacteremia
82135	Atopobium vaginae			human	bacterial vaginosis
370622	Aurantimonas altamirensis	Human clinical samples		human	infections
1423138	Bacillus amyloliquefaciens SQR9	cucumber		cucumber	cucumber wilt disease
1458206	Bacillus amyloliquefaciens subsp. plantarum NJN6			plants	plant disease
1392	Bacillus anthracis	dead cow; human clinical samples	USA; South Africa; Pakistan; Italy: Pollino National Park; Basilicata; Turkey: Yozgat; Argentina: Buenos Aires; China: Liaoning; Greece; Germany: Saxony-Anhalt	whales; human; cats; pig; cattle	Anthrax
261594	Bacillus anthracis str. 'Ames Ancestor'			human	Anthrax
592021	Bacillus anthracis str. A0248		Ohio	human	Anthrax
743835	Bacillus anthracis str. A16			human	Anthrax
673518	Bacillus anthracis str. A16R			human	Anthrax
198094	Bacillus anthracis str. Ames		USA: Texas	cattle	Anthrax
568206	Bacillus anthracis str. CDC 684			human	Anthrax
768494	Bacillus anthracis str. H9401	Korean cutaneous anthrax patient	Korea	human	Anthrax
1392837	Bacillus anthracis str. SVA11	the Swedish anthrax outbreak	Sweden	cattle	Anthrax
260799	Bacillus anthracis str. Sterne			human	Anthrax vaccine strain
1452727	Bacillus anthracis str. Turkey32	skin	Turkey: Yozgat	human	Anthrax
189382	Bacillus aquimaris			sweet banana; human; Citrus limon; lattice blaasop; Gymnanthemum amygdalinum	Unknown
572264	Bacillus cereus 03BB102	Human blood	USA: Texas: San Antonio	human	Pneumonia
1396	Bacillus cereus 03BB87	Clinical sample (blood)	USA	human	Anthrax-like illness
405534	Bacillus cereus AH187	vomit		human	Food poisoning
405535	Bacillus cereus AH820	the periodontal pocket of a 76 year old female patient with marginal periodontitis and was further analyzed	Norway: Akershus	human	Periodontitis
222523	Bacillus cereus ATCC 10987		Canada	human	Food poisoning
226900	Bacillus cereus ATCC 14579			human	Food poisoning
405532	Bacillus cereus B4264	case of fatal pneumonia		human	Pneumonia
288681	Bacillus cereus E33L	Animal; carcass of dead zebra	Namibia: Etosha National Park	Zebra	Unknown
347495	Bacillus cereus F837/76			human	Gastroenteritis
1217984	Bacillus cereus FRI-35			human	Anthrax-like illness
269801	Bacillus cereus G9241	Human clinical sample	USA: Louisiana	human	Anthrax-like illness
405531	Bacillus cereus G9842	stool samples from an outbreak that involved three individuals	Nebraska	human	Food poisoning
637380	Bacillus cereus biovar anthracis str. CI			human	Anthrax
1397	Bacillus circulans	sewage		human	sepsis
315749	Bacillus cytotoxicus NVH 391-98			human	Food poisoning
135735	Bacillus endophyticus			kobresia capillifolia; human; sweet banana; neem tree; Nicotiana attenuata; eudicots; tsetse fly; maize; glaucous tobacco; litopenaeus vannamei	Unknown
86664	Bacillus flexus			mosquito; human; bees; etroplus suratensis; ducks; eudicots; Citrus limon; poplars; castor bean; tropical almond; tradescantia spathacea; cocoa; maize; rambutan; sansam; prosopis juliflora	infections
279010	Bacillus licheniformis ATCC 14580 (Prj:13082)			human	Food poisoning
279010	Bacillus licheniformis DSM 13 = ATCC 14580			human	Food poisoning
1404	Bacillus megaterium			yuca; mamon; ducks; wheat; Citrus limon; tradescantia spathacea; sansam; Tectona grandis; century plant; pisum sativum; phoenix roebelenii; mosquitos; pandan wangi; centrosema pubescens; Burma mangrove; Jayanti rohu; jump-and-go; erythrophleum fordii; good luck plant; sweet almond; bees; plumeria obtusa; talipariti hamabo; African oil palm; okra; mimosa bimucronata; jackfruit; durian; copa de oro; castor bean; Acacia mangium; coconut palm; Mexican yew; jambolan; curry leaf; lemon grass; zenia insignis; babosa; jungle geranium; wine grape; cempedak; aquilaria sinensis; sandal bead tree; heliconia latispatha; date palm; Nicotiana attenuata; maize; glaucous tobacco; mango; mother-in-law's tongue; cyrtostachys renda; neem tree; polyalthia longifolia; toquilla palm; hymenocallis littoralis; shaddock; tamarind; mambi-bean; cinnamomum pauciflorum; roystonea borinquena; human; E. coli; Lantana camara; kandelia candel; beefsteak-mint; sponges; rosy periwinkle; sheep-rot; bougainvillea spectabilis; Agave salmiana; noble cane; reseda-flor-da-rainha; eudicots; cocoa; philodendron bipinnatifidum; Japanese honeysuckle; tridax procumbens; field mustard; cannonball tree; Pacific dampwood termite; peppers; mammillaria fraileana; Burmese fishtail palm; bitter gourd; piper nigrum; isochrysis galbana; birds; brinjal; monocots	Pneumonia; septicaemia; corneal infections; meningitis; food poisoning; eye infection; lung infection
72360	Bacillus mojavensis			date palm; human; Bistorta vivipara; urd-bean; sophora alopecuroides; Egyptian cotton; gentiana macrophylla; zakuro; maize	Food poisoning
1405	Bacillus mycoides			channel catfish	Pneumonia; septicaemia; corneal infections; meningitis; food poisoning; eye infection; lung infection
1408	Bacillus pumilus strain GR-8	Soil	China	Ginger plant	Ginger rhizome rot
1408	Bacillus pumilus			human	Food poisoning; wound infection; cutaneous lesions; bacteraemia; endocarditis; eye infection
1421	Bacillus sphaericus			human	bacteremia
370439	Bacillus thioparans			environmental	Unknown
281309	Bacillus thuringiensis serovar konkukian str. 97-27	tissue necrosis		human	sepsis
412694	Bacillus thuringiensis str. Al Hakam			environmental; insects	
1428	Bacillus thuringiensis strain CTC	soil	China: Wuhan	Invertebrate	
315730	Bacillus weihenstephanensis KBAB4			human	Food poisoning
47678	Bacteroides caccae	feces		human	commensal; sepsis; abscess or surgical infections
626929	Bacteroides clarus	feces	Japan	human	commensal; sepsis; abscess or surgical infections
46507	Bacteroides coagulans	feces		human	commensal; sepsis; abscess or surgical infections
310298	Bacteroides coprocola	feces		human	commensal; sepsis; abscess or surgical infections
823	Bacteroides distasonis	feces		human	commensal; sepsis; abscess or surgical infections
357276	Bacteroides dorei	stool	Finland: Turku	human	commensal; sepsis; abscess or surgical infections
28111	Bacteroides eggerthii	feces		human	commensal; sepsis; abscess or surgical infections
338188	Bacteroides finegoldii	feces	Japan	human	commensal; sepsis; abscess or surgical infections
626930	Bacteroides fluxus	feces	Japan	human	commensal; sepsis; abscess or surgical infections
28112	Bacteroides forsythus	human oral cavity		human	periodontitis
272559	Bacteroides fragilis NCTC 9343			human	commensal; sepsis; abscess or surgical infections
295405	Bacteroides fragilis YCH46	patient with septicemia	Japan	human	commensal; sepsis; abscess or surgical infections
384639	Bacteroides galacturonicus	human intestine		human	commensal; sepsis; abscess or surgical infections
28113	Bacteroides heparinolyticus	periodontidis	Japan	human	periodontitis
46507	Bacteroides massiliensis	blood		human	commensal; sepsis; abscess or surgical infections
46503	Bacteroides merdae	feces		human	commensal; sepsis; abscess or surgical infections
291645	Bacteroides nordii	Human clinical samples		human	commensal; sepsis; abscess or surgical infections
626931	Bacteroides oleiciplenus	feces	Japan	human	commensal; sepsis; abscess or surgical infections
28116	Bacteroides ovatus strain ATCC 8483	feces	USA:Woods Hole	human	commensal; sepsis; abscess or surgical infections
384638	Bacteroides pectinophilus	human intestine		human	commensal; sepsis; abscess or surgical infections
310297	Bacteroides plebeius	feces		human	commensal; sepsis; abscess or surgical infections
310300	Bacteroides pyogenes	pig feces and abcesses		pig; human	commensal; sepsis; abscess or surgical infections
291644	Bacteroides salyersiae	Human clinical samples		human	commensal; sepsis; abscess or surgical infections
28118	Bacteroides splanchnicus	crevicular spaces of canine oral cavity		dog	periodontitis
46506	Bacteroides stercoris	feces		human	commensal; sepsis; abscess or surgical infections
310300	Bacteroides tectus	pig feces and abcesses		pig; human	commensal; sepsis; abscess or surgical infections
226186	Bacteroides thetaiotaomicron VPI-5482	the feces of a healthy adult		human	commensal; sepsis; abscess or surgical infections
818	Bacteroides thetaiotaomicron strain 7330	feces	USA:Woods Hole	human	commensal; sepsis; abscess or surgical infections
820	Bacteroides uniformis	feces		human; mouse	commensal; sepsis; abscess or surgical infections
827	Bacteroides ureolyticus			human	commensal; sepsis; abscess or surgical infections
435590	Bacteroides vulgatus ATCC 8482			human	commensal; sepsis; abscess or surgical infections
821	Bacteroides vulgatus strain mpk	healthy mouse fecal sample	Germany	mouse	commensal; sepsis; abscess or surgical infections
1094489	Bartonella australis Aust/NH1	host blood	Australia	Eastern grey kangaroo; eastern gray kangaroo	Unknown
360095	Bartonella bacilliformis KC583			human	Carrion's disease
1094491	Bartonella bOvis 91 (whales)-4	blood	France	cattle	Unknown
807	Bartonella elizabethae			Libyan jird; human; Asian house shrew; rodents; carnivores; Canis dog; rats	endocarditis
283166	Bartonella henselae str. Houston-1	human blood	Houston Texas	human	Bacillary angiomatosis; Cat scratch fever
1225179	Bartonella quintana RM-11	rhesus macaque		primates; Rhesus monkey	Unknown
283165	Bartonella quintana str. Toulouse	human blood	Toulouse France	human	Bacillary angiomatosis; Trench fever
395923	Bartonella rochalimae	Human clinical sample	Peru	human; carnivores; Canis dog; rats; pulex irritans	bacteremia; fever; splenomegaly
373638	Bartonella tamiae	Human clinical sample	Thailand	human	bacteremia
382640	Bartonella tribocorum CIP 105476	the blood of wild rats		Rat	Bartonellosis
1094497	Bartonella vinsonii subsp. berkhoffii str. Winnie	host blood	USA	dog	Unknown
186739	Bartonella washoensis	Human clinical sample		Daurian ground squirrel; aetheca wagneri; orchopeas leucopus; human; spermophilus columbianus; spermophilus beecheyi; spermophilus tridecemlineatus; Siberian chipmunk; cediopsylla inaequalis; black-tailed prairie dog; southern flying squirrel; prairie dog flea; spermophilus richardsonii; red squirrel; pulex irritans	cardiac disease; meningitis
1072685	Basilea psittacipulmonis DSM 24701	lung	Switzerland: Basel	budgerigar	Unknown
1015	Bergeyella zoohelcum	Human clinical samples		human	Wound infection; septicaemia; meningitis
1263829	Bibersteinia trehalosi USDA-ARS-USMARC-188		USA: Kansas	cattle	bovine respiratory infections
1263831	Bibersteinia trehalosi USDA-ARS-USMARC-189	mucus	USA: Nebraska	cattle	bovine respiratory infections
1263832	Bibersteinia trehalosi USDA-ARS-USMARC-190	mucus	USA: Nebraska	cattle	bovine respiratory infections
1171377	Bibersteinia trehalosi USDA-ARS-USMARC-192	lung	USA: Nebraska	cattle	bovine respiratory infections
401473	Bifidobacterium dentium Bd1	dental caries		human	Dental caries
35833	Bilophila wadsworthia	feces/human clinical samples	California; USA	human	Appendicitis; abscesses; bacteraemia; biliary tract sepsis; mastoiditis
33035	Blautia producta	feces	Chicago; USA	human	septicemia
1505597	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	ant colony in branch	US: near Morehead City; North Carolina	Camponotus (Colobopsis) obliquus	Unknown
1505596	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	ant nest on rock	Australia: near Townsville	Polyrhachis (Hedomyrma) turneri	Unknown
360910	Bordetella avium 197N			Poultry	Bordetellosis
257310	Bordetella bronchiseptica RB50	rabbit		Rabbit; human	Respiratory tract infections
518	Bordetella bronchiseptica S798	pig with atrophic rhinitis	Japan	pig; human	Respiratory tract infections
518	Bordetella bronchiseptica strain ATCC 10580	lung	USA: Detroit; Michigan	human; Canis dog	Respiratory tract infections
103855	Bordetella hinzii strain F582	blood	USA: WA	human	bacteremia
103855	Bordetella hinzii strain H568	sputum	USA: AR	human	bacteremia
1172205	Bordetella holmesii 44057	blood	USA	human	bacteremia; endocarditis; respiratory disease
1247649	Bordetella holmesii ATCC 51541	blood	USA	human	bacteremia; endocarditis; respiratory disease
257311	Bordetella parapertussis 12822	infected infant	Germany	human	Respiratory tract infections
519	Bordetella parapertussis strain NCTC 5952	Cough plate	USA: VA	human	Respiratory tract infections
520	Bordetella pertussis	respiratory tract	USA:NY; France; Netherlands; Sweden; Norway; 	human	Respiratory tract infections
257313	Bordetella pertussis Tohama I	Human clinical sample		human	Respiratory tract infections
94624	Bordetella petrii	anaerobic bioreactor;	Germany	human	Respiratory tract infections
123899	Bordetella trematum	Human clinical samples	Belgium	human	wounds; ulcers
411555	Borrelia afzelii K78	skin	Austria	human	Lyme disease
390236	Borrelia afzelii PKo		Europe; Asia	human	Lyme disease
1398490	Borrelia afzelii Tom3107	female Ixodes persulcatus tick	Russia: Tomsk	taiga tick; human	Lyme disease
478807	Borrelia americana	ticks; birds; rodents	USA	Carolina wren; human; tick	Lyme disease
42109	Borrelia andersonii		USA	Lone Star tick; shoulder tick; human	Lyme disease
1313293	Borrelia anserina BA2	blood	USA	chicken	Lyme disease
521010	Borrelia bissettii DN127	western blackleg Ixodes pacificus;	USA: California	human; California black legged tick	Lyme disease
1653832	Borrelia brasiliensis			dog	Lyme disease
139	Borrelia burgdorferi B31	original B31 isolate; lacking plasmids lp5 and lp56		shoulder tick; human	Lyme disease
1328311	Borrelia burgdorferi CA382			shoulder tick; human	Lyme disease
521008	Borrelia burgdorferi JD1	nymphal deer Ixodes scapularis;	Ipswich Massachusetts	shoulder tick; human	Lyme disease
521007	Borrelia burgdorferi N40	adult deer Ixodes dammini;	New York	Ixodes dammini; human	Lyme disease
445985	Borrelia burgdorferi ZS7			human	Lyme disease
1653833	Borrelia caucasica			human	Lyme disease
1313292	Borrelia coriaceae Co53		USA	Ornithodoros coriaceus; human	Lyme disease
1293575	Borrelia crocidurae DOU	blood of a laboratory mouse	Mali	Ornithodoros sonrai; human	Lyme disease
1155096	Borrelia crocidurae str. Achema			human	Lyme disease
412419	Borrelia duttonii Ly	2-year-old girl with tick-borne relapsing fever	Tanzania	human	Lyme disease
1234596	Borrelia garinii NMJW1	tick	China: Inner Mongolia	taiga tick; human	Lyme disease
290434	Borrelia garinii PBi	the cerebrospinal fluid of a patient with neuroborreliosis	Germany	human	Lyme disease
1329908	Borrelia hermsii CC1	Ornithodoros hermsii tick	USA: Inyo County; California	Chipmunk; human	Lyme disease
314723	Borrelia hermsii DAH	Blood	Washington; USA	human	Lyme disease
1313291	Borrelia hermsii MTW	blood of laboratory mouse	USA	human; Ornithodoros hermsi	Lyme disease
