superkingdom	phylum	class	order	family	year	status	reference	name	taxid
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	1985	established	"Freney, J. E. A. N., et al. ""Postoperative infant septicemia caused by Pseudomonas luteola (CDC group Ve-1) and Pseudomonas oryzihabitans (CDC group Ve-2)."" Journal of Clinical Microbiology 26.6 (1988): 1241-1243."	Pseudomonas oryzihabitans	47885
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	1985	putative	"Cuello, Osvaldo H., et al. ""Rhodococcus globerulus keratitis after laser in situ keratomileusis."" Journal of Cataract & Refractive Surgery 28.12 (2002): 2235-2237."	Rhodococcus globerulus	33008
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1985	established	Taylor et al	Salmonella bongori	54736
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	1985	established	"Nováková, Dana, et al. ""Staphylococcus equorum and Staphylococcus succinus isolated from human clinical specimens."" Journal of medical microbiology 55.5 (2006): 523-528."	Staphylococcus equorum	246432
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1985	established	"Cekmen, Nedim, et al. ""A rare case of bacterial infective endocarditis caused by Streptococcus alactolyticus."" Heart, Vessels and Transplantation 3.3 (2019): 109-113."	Streptococcus alactolyticus	29389
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1985	established	"Facklam, R., et al. ""Identification of Streptococcus porcinus from human sources."" Journal of clinical microbiology 33.2 (1995): 385-388."	Streptococcus porcinus	1340
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	1985	established	Taylor et al	Tatlockia maceachernii	466
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1985	established	"Jain, Sarika, et al. ""Yokenella regensburgei infection in India mimicking enteric fever."" Journal of medical microbiology 62.6 (2013): 935-939."	Yokenella regensburgei	158877
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	1986	established	Taylor et al	Achromobacter piechaudii	72556
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1986	established	Taylor et al	Acinetobacter baumannii	470
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1986	established	Taylor et al	Acinetobacter johnsonii	40214
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1986	established	Taylor et al	Acinetobacter junii	40215
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	1986	established	"Kiredjian, M., et al. ""Alcaligenes piechaudii, a new species from human clinical specimens and the environment."" International Journal of Systematic and Evolutionary Microbiology 36.2 (1986): 282-287."	Alcaligenes piechaudii	72556
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	1986	established	Taylor et al	Bacteroides caccae	47678
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	1986	established	Taylor et al	Bacteroides forsythus	28112
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	1986	established	Taylor et al	Bacteroides merdae	46503
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	1986	established	Taylor et al	Bacteroides stercoris	46506
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	1986	established	Taylor et al	Enterococcus mundtii	53346
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	1986	established	"Margaret, Barbara S., and George N. Krywolap. ""Eubacterium yurii subsp. yurii sp. nov. and Eubacterium yurii subsp. margaretiae subsp. nov.: test tube brush bacteria from subgingival dental plaque."" International Journal of Systematic and Evolutionary Microbiology 36.2 (1986): 145-149."	Eubacterium yurii	39498
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	1986	established	"Tan, Michael J., and Richard L. Oehler. ""Lower extremity cellulitis and bacteremia with Herbaspirillum seropedicae associated with aquatic exposure in a patient with cirrhosis."" Infectious Diseases in Clinical Practice 13.5 (2005): 277-279."	Herbaspirillum seropedicae 	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	1986	established	Taylor et al	Prevotella dentalis	52227
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	1986	putative	"Jneid, Joanne, et al. ""Draft genome sequence of Providencia heimbachae, isolated from a diabetic foot ulcer."" Genome announcements 4.2 (2016): e00276-16."	Providencia heimbachae	333962
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1986	established	"Lloyd-Puryear, M., et al. ""Meningitis caused by Psychrobacter immobilis in an infant."" Journal of clinical microbiology 29.9 (1991): 2041-2042."	Psychrobacter immobilis	498
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1986	established	Taylor et al	Streptococcus canis	1329
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	1986	established	"Chukkapalli, Sasanka S., et al. ""Chronic oral infection with major periodontal bacteria Tannerella forsythia modulates systemic atherosclerosis risk factors and inflammatory markers."" Pathogens and disease 73.3 (2015): ftv009."	Tannerella forsythia	28112
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	1986	established	Taylor et al	Vibrio cincinnatiensis	675
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	1986	established	"Slenker, A. K., et al. ""Fatal case of Weeksella virosa sepsis."" Journal of clinical microbiology 50.12 (2012): 4166-4167."	Weeksella virosa	1014
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	1986	established	"Holmes, B., et al. ""Weeksella zoohelcum sp. nov.(formerly group IIj), from human clinical specimens."" Systematic and Applied Microbiology 8.3 (1986): 191-196."	Weeksella zoohelcum	1015
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	1987	established	Taylor et al	Bacteroides galacturonicus	384639
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	1987	established	Taylor et al	Bacteroides pectinophilus	384638
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	1987	established	Taylor et al	Bergeyella zoohelcum	1015
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	1987	established	Taylor et al	Leptospira borgpetersenii	174
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	1987	established	Taylor et al	Leptospira inadai	29506
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	1987	established	Taylor et al	Leptospira meyeri	29508
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	1987	established	Taylor et al	Leptospira noguchii	28182
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	1987	established	Taylor et al	Leptospira santarosai	28183
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	1987	established	"Smythe, L. D., et al. ""Epidemiology of Leptospira weilii serovar Topaz infections in Australia."" Communicable diseases intelligence quarterly report 31.2 (2007)."	Leptospira weilii	28184
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	1987	putative	"Ballester, Frederic, et al. ""First human isolate of mycobacterium poriferae in the sputum of a patient with chronic bronchitis."" Journal of clinical microbiology 49.8 (2011): 3107-3108."	Mycobacterium poriferae	39694
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	1987	established	Taylor et al	Oligella ureolytica	90244
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	1987	established	Taylor et al	Selenomonas artemidis	671224
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	1987	established	Taylor et al	Selenomonas dianae	135079
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	1987	established	Taylor et al	Selenomonas flueggei	135080
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	1987	established	Taylor et al	Selenomonas infelix	135082
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	1987	established	Taylor et al	Selenomonas noxia	135083
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1987	established	Taylor et al	Yersinia rohdei	29485
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1988	established	Taylor et al	Acinetobacter radioresistens	40216
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	1988	established	Taylor et al	Aeromonas veronii	654
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1988	established	"Dalal, Aman, Carl Urban, and Sorana Segal-Maurer. ""Endocarditis due to Corynebacterium amycolatum."" Journal of medical microbiology 57.10 (2008): 1299-1302."	Corynebacterium amycolatum	43765
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1988	established	Taylor et al	Corynebacterium jeikeium	38289
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae	1988	established	"Gómez-Garcés, José Luis, et al. ""Bacteremia by Dermabacter hominis, a rare pathogen."" Journal of clinical microbiology 39.6 (2001): 2356-2357."	Dermabacter hominis	36740
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	1988	established	Taylor et al	Ehrlichia equi	948
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1988	established	Taylor et al	Enterobacter asburiae	61645
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	1988	established	"Kamel, Omar, et al. ""Butyricimonas faecihominis and Eubacterium callanderi mixed bloodstream infection after appendicular peritonitis."" Anaerobe 71 (2021): 102419."	Eubacterium callanderi	53442
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	1988	established	Taylor et al	Fibrobacter intestinalis	28122
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	1988	established	Taylor et al	Fusobacterium ulcerans	861
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	1988	established	Taylor et al	Helicobacter cinaedi	213
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	1988	established	Taylor et al	Helicobacter fennelliae	215
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	1988	established	Taylor et al	Legionella birminghamensis	28083
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	1988	established	"Hornei, B., et al. ""Systemic infection of an immunocompromised patient with Methylobacterium zatmanii."" Journal of clinical microbiology 37.1 (1999): 248-250."	Methylobacterium zatmanii	29429
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	1988	established	Taylor et al	Ochrobactrum anthropi	529
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	1988	putative	"Magleby, Reed, et al. ""First reported human isolation of Staphylococcus delphini."" Diagnostic microbiology and infectious disease 94.3 (2019): 274-276."	Staphylococcus delphini	53344
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	1988	established	Taylor et al	Staphylococcus lugdunensis	28035
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	1988	established	"Kumar, D., et al. ""Case of Staphylococcus schleiferi subspecies coagulans endocarditis and metastatic infection in an immune compromised host."" Transplant Infectious Disease 9.4 (2007): 336-338."	Staphylococcus schleiferi	1295
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1988	established	"Simsek, A. Dilek, et al. ""Streptococcus vestibularis bacteremia following dental extraction in a patient on long-term hemodialysis: a case report."" NDT plus 1.4 (2008): 276."	Streptococcus vestibularis	1343
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1988	established	Taylor et al	Yersinia bercovieri	634
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1988	established	Taylor et al	Yersinia mollaretii	33060
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	1989	established	Taylor et al	Abiotrophia defectiva	46125
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	1989	putative	"Chase, John M., et al. ""Acidomonas methanolica-associated necrotizing lymphadenitis in a patient with chronic granulomatous disease."" Journal of clinical immunology 32.6 (2012): 1193-1196."	Acidomonas methanolica	437
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	1989	established	"Carnahan, A. M., et al. ""Characterization of Aeromonas schubertii strains recently isolated from traumatic wound infections."" Journal of Clinical Microbiology 27.8 (1989): 1826-1830."	Aeromonas schubertii	652
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	1989	established	Taylor et al	Chlamydophila pneumoniae	83558
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1989	putative	"Elsayed, Sameer, and Kunyan Zhang. ""Bacteremia caused by Clostridium intestinale."" Journal of clinical microbiology 43.4 (2005): 2018-2020."	Clostridium intestinale	36845
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	1989	established	Taylor et al	Enterococcus raffinosus	71452
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	1989	established	Taylor et al	Granulicatella adiacens	46124
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1989	established	Taylor et al	Klebsiella ornithinolytica	54291
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	1989	established	Taylor et al	Legionella cincinnatiensis	28085
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	1989	established	"Cappelli, Elisabete A., et al. ""Leuconostoc pseudomesenteroides as a cause of nosocomial urinary tract infections."" Journal of clinical microbiology 37.12 (1999): 4124-4126."	Leuconostoc pseudomesenteroides	33968
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1989	established	"Wenzler, Eric, Kamal Kamboj, and Joan-Miquel Balada-Llasat. ""Severe sepsis secondary to persistent Lysinibacillus sphaericus, Lysinibacillus fusiformis and Paenibacillus amylolyticus bacteremia."" International Journal of Infectious Diseases 35 (2015): 93-95."	Lysinibacillus fusiformis	28031
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	1989	putative	"Ferrand, Janina, et al. ""Cardiac device-related endocarditis caused by Paenibacillus glucanolyticus."" Journal of clinical microbiology 51.10 (2013): 3439-3442."	Paenibacillus glucanolyticus	59843
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	1989	established	"Asai, Nobuhiro, et al. ""Pantoea dispersa bacteremia in an immunocompetent patient: a case report and review of the literature."" Journal of medical case reports 13.1 (2019): 1-5."	Pantoea dispersa	59814
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1989	established	"Seng, Piseth, et al. ""Emerging role of Raoultella ornithinolytica in human infections: a series of cases and review of the literature."" International Journal of Infectious Diseases 45 (2016): 65-71."	Raoultella ornithinolytica	54291
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1989	established	Taylor et al	Streptococcus gordonii	1302
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	1989	established	Taylor et al	Veillonella parvula	29466
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	1990	established	Taylor et al	Actinomyces georgiae	52768
