superkingdom	phylum	class	order	family	year	status	reference	name	taxid
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1823	established	Taylor et al	Serratia marcescens	615
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1835	established	Taylor et al	Bacillus subtilis	1423
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1842	established	"Bortolotti, Perrine, et al. ""Clostridium ventriculi bacteremia following acute colonic pseudo-obstruction: a case report."" Anaerobe 59 (2019): 32-34."	Clostridium ventriculi	1267
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	1853	established	Taylor et al	Leptotrichia buccalis	40542
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	1854	established	Taylor et al	Vibrio cholerae	666
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1872	established	Taylor et al	Bacillus anthracis	1392
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	1872	established	"Seifert, Harald, Matthias Kaltheuner, and Francoise Perdreau-Remington. ""Micrococcus luteus endocarditis: case report and review of the literature."" Zentralblatt für Bakteriologie 282.4 (1995): 431-435."	Micrococcus luteus	1270
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	1872	established	Taylor et al	Pseudomonas aeruginosa	287
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	1874	established	Taylor et al	Borrelia recurrentis	44449
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	1877	putative	"Mansouri, Parvin, et al. ""Primary cutaneous actinomycosis caused by Actinomyces bovis in a patient with common variable immunodeficiency."" The Journal of dermatology 38.9 (2011): 911-915."	Actinomyces bovis	1658
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	1878	established	"Bou, Germán, et al. ""Nosocomial outbreaks caused by Leuconostoc mesenteroides subsp. mesenteroides."" Emerging infectious diseases 14.6 (2008): 968."	Leuconostoc mesenteroides	1245
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	1880	established	Taylor et al	Chromobacterium violaceum	536
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1880	established	Taylor et al	Clostridium butyricum	1492
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	1880	established	Taylor et al	Mycobacterium leprae	1769
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	1880	established	"Nasu, Yoshiyuki, et al. ""A case of Paenibacillus polymyxa bacteremia in a patient with cerebral infarction."" Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases 77.10 (2003): 844-848."	Paenibacillus polymyxa	1406
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	1883	established	Taylor et al	Mycobacterium tuberculosis	1773
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	1884	established	Taylor et al	Staphylococcus aureus	1280
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1884	established	Taylor et al	Streptococcus pneumoniae	1313
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1884	established	Taylor et al	Streptococcus pyogenes	1314
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	1885	established	Taylor et al	Burkholderia mallei	13373
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	1885	established	Taylor et al	Neisseria gonorrhoeae	485
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	1885	established	Taylor et al	Paenibacillus alvei	44250
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	1885	established	Taylor et al	Proteus mirabilis	584
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	1885	established	Taylor et al	Proteus vulgaris	585
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1886	established	Taylor et al	Bacillus mycoides	1405
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1886	established	Taylor et al	Clostridium tetani	1513
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1886	established	Taylor et al	Corynebacterium diphtheriae	1717
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1886	established	Taylor et al	Klebsiella oxytoca	571
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1886	established	Taylor et al	Klebsiella pneumoniae	573
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	1886	established	"Moreira, Jorge Salomão, et al. ""Endocarditis by Kocuria rosea in an immunocompetent child."" Brazilian Journal of Infectious Diseases 19 (2015): 82-84."	Kocuria rosea	1275
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	1886	established	"Baraldès, Maria A., et al. ""Meningitis due to Neisseria subflava: case report and review."" Clinical infectious diseases 30.3 (2000): 615-617."	Neisseria subflava	28449
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1886	established	Taylor et al	Salmonella typhi	90370
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	1886	established	"Pinon, G., et al. ""Fatal Selenomonas sputigena septicemia probably originating from lung abscess."" European journal of clinical microbiology 4.3 (1985): 343-344."	Selenomonas sputigena	69823
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	1886	established	"Okuda, Katsuji, et al. ""Detection of Treponema denticola in atherosclerotic lesions."" Journal of Clinical Microbiology 39.3 (2001): 1114-1117."	Treponema denticola	158
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1887	established	Taylor et al	Bacillus cereus	1396
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1887	established	Taylor et al	Clostridium chauvoei	46867
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	1888	established	Taylor et al	Pantoea agglomerans	549
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1888	established	Taylor et al	Salmonella enteritidis	149539
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1888	established	Taylor et al	Streptococcus equi	1336
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	1888	established	"Jean-Jacques, W. K. J. F. J. C., et al. ""Vibrio metschnikovii bacteremia in a patient with cholecystitis."" Journal of clinical microbiology 14.6 (1981): 711-712."	Vibrio metschnikovii	28172
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1889	established	Taylor et al	Clostridium septicum	1504
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1889	established	"Brazilian Purpuric Fever Study Group. ""Haemophilus aegyptius bacteraemia in Brazilian purpuric fever."" The Lancet 330.8562 (1987): 761-763."	Haemophilus aegyptius	197575
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	1889	established	Taylor et al	Mycobacterium smegmatis	
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	1889	established	Taylor et al	Nocardia farcinica	37329
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	1889	established	Taylor et al	Pseudomonas putida	303
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1889	established	Taylor et al	Yersinia pseudotuberculosis	633
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1890	established	Taylor et al	Bacillus circulans	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1890	established	Taylor et al	Enterobacter cloacae	550
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	1891	established	Taylor et al	Nocardia asteroides	1824
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	1891	established	Taylor et al	Rhodococcus rhodochrous	1829
Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	1891	putative	"Martín, Maria Cruz, et al. ""Streptomyces albus isolated from a human actinomycetoma and characterized by molecular techniques."" Journal of clinical microbiology 42.12 (2004): 5957-5960."	Streptomyces albus	1888
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1892	established	Taylor et al	Salmonella typhimurium	90371
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	1893	established	Taylor et al	Brucella melitensis	29459
Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	1894	established	"Bonifaz, Alexandro, et al. ""Actinomycetoma by Actinomadura madurae. Clinical and therapeutic characteristics of 18 cases with two treatment modalities."" Journal of Dermatological Treatment (2020): 1-5."	Actinomadura madurae	1993
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1894	established	Taylor et al	Salmonella choleraesuis	28901
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	1895	established	"Hagiya, Hideharu, et al. ""Desulfovibrio desulfuricans bacteremia: a case report and literature review."" Anaerobe 49 (2018): 112-115."	Desulfovibrio desulfuricans	876
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1895	established	Taylor et al	Escherichia coli	562
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	1895	established	Taylor et al	Pseudomonas fluorescens	294
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	1896	established	Taylor et al	Actinomyces israelii	1659
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	1896	established	"Tewari, Rachna, et al. ""Isolation of Aeromonas salmonicida from human blood sample: a case report."" Journal of clinical and diagnostic research: JCDR 8.2 (2014): 139."	Aeromonas salmonicida	645
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1896	established	Taylor et al	Clostridium botulinum	1491
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1896	established	Taylor et al	Corynebacterium pseudodiphthericum	37637
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1896	established	Taylor et al	Corynebacterium xerosis	1725
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1896	established	Taylor et al	Haemophilus influenzae	727
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	1896	established	"Maillet, F., et al. ""Lactobacillus delbrueckii urinary tract infection in a male patient."" Medecine et maladies infectieuses 49.3 (2019): 226-228."	Lactobacillus delbrueckii	1584
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1896	established	Taylor et al	Moraxella catarrhalis	480
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	1896	established	Taylor et al	Pseudomonas stutzeri	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1896	established	Taylor et al	Serratia plymuthica	82996
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1896	established	Taylor et al	Streptococcus agalactiae	1311
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1896	established	Taylor et al	Yersinia pestis	632
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1897	established	Taylor et al	Shigella dysenteriae	622
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1898	established	Taylor et al	Bacillus licheniformis	1402
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	1898	established	Taylor et al	Bacteroides fragilis	817
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1898	established	Taylor et al	Clostridium perfringens	1502
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1898	established	Taylor et al	Clostridium ramosum	
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1899	established	"Poduval, Rajiv D., et al. ""Clostridium cadaveris bacteremia in an immunocompetent host."" Clinical infectious diseases 29.5 (1999): 1354-1355."	Clostridium cadaveris	1529
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1899	established	Taylor et al	Pasteurella multocida	747
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	1900	established	Taylor et al	Brevibacillus brevis	1393
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1900	established	Taylor et al	Clostridium novyi	1542
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1900	established	Taylor et al	Corynebacterium kutscheri	35755
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	1900	established	Taylor et al	Cutibacterium acnes	1747
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	1900	established	Taylor et al	Erysipelothrix rhusiopathiae	1648
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	1900	established	"Tsai, Cheng-Yu, et al. ""Kocuria varians infection associated with brain abscess: a case report."" BMC infectious diseases 10.1 (2010): 1-4."	Kocuria varians	1272
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	1900	putative	"Thompson, Charles, et al. ""Lactobacillus acidophilus sepsis in a neonate."" Journal of Perinatology 21.4 (2001): 258-260."	Lactobacillus acidophilus	1579
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1900	established	Taylor et al	Moraxella lacunata	477
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	1900	established	"Jakab, E., et al. ""Severe infections caused by Propionibacterium acnes: an underestimated pathogen in late postoperative infections."" The Yale journal of biology and medicine 69.6 (1996): 477."	Propionibacterium acnes	1747
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	1901	established	Taylor et al	Aeromonas hydrophila	644
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1901	established	Taylor et al	Bacillus pumilus	1408
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	1901	established	"Fiori, Pier Luigi, et al. ""Brucella abortus infection acquired in microbiology laboratories."" Journal of clinical microbiology 38.5 (2000): 2005-2006."	Brucella abortus	235
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1901	established	Taylor et al	Corynebacterium striatum	43770
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	1901	established	Taylor et al	Fusobacterium mortiferum	850
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	1901	established	Taylor et al	Mycobacterium avium	1764
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	1901	established	Taylor et al	Neisseria meningitidis	487
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	1903	established	Taylor et al	Arcanobacterium pyogenes	1661
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	1903	established	"Kavitha, Kannaiyan, et al. ""Three cases of Arcanobacterium pyogenes-associated soft tissue infection."" Journal of medical microbiology 59.6 (2010): 736-739."	Trueperella pyogenes	1661
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1904	established	Taylor et al	Bacillus sphaericus	1421
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1904	putative	"Wort, A. J., and R. L. Ozere. ""Characteristics of a strain of Clostridium carnis causing septicaemia in a young infant."" Journal of clinical pathology 29.11 (1976): 1011-1013."	Clostridium carnis	1530
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Gordoniaceae	1904	established	Taylor et al	Gordonia rubripertincta	36822
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1904	established	"Wenzler, Eric, Kamal Kamboj, and Joan-Miquel Balada-Llasat. ""Severe sepsis secondary to persistent Lysinibacillus sphaericus, Lysinibacillus fusiformis and Paenibacillus amylolyticus bacteremia."" International Journal of Infectious Diseases 35 (2015): 93-95."	Lysinibacillus sphaericus	1421
Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Nocardiopsaceae	1904	established	"Mordarska, Hi, et al. ""Rare, suppurative pulmonary infection caused by Nocardiopsis dassonvillei recognized by glycolipid markers."" FEMS Immunology & Medical Microbiology 21.1 (1998): 47-55."	Nocardiopsis dassonvillei	2014
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	1905	established	Taylor et al	Paenibacillus macerans	44252
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	1905	established	Taylor et al	Peptostreptococcus anaerobius	1261
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	1905	established	Taylor et al	Treponema pallidum	160
Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	1906	established	"Cascio, Antonio, et al. ""Actinomadura pelletieri mycetoma–an atypical case with spine and abdominal wall involvement."" Journal of medical microbiology 60.5 (2011): 673-676."	Actinomadura pelletieri	111805
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	1906	established	Taylor et al	Borrelia duttonii	40834
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	1906	established	Taylor et al	Enterococcus faecalis	1351
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	1906	established	Taylor et al	Neisseria cinerea	483
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1906	established	Taylor et al	Streptococcus anginosus	1328
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1906	established	"Klein, Robert S., et al. ""Streptococcus equinus septicemia: report of two cases and review of the literature."" The American journal of the medical sciences 279.2 (1980): 99-103."	Streptococcus equinus	1335
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1906	established	Taylor et al	Streptococcus mitis	28037
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1906	established	Taylor et al	Streptococcus salivarius	1304
Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	1906	established	"Borelli, Dante, and Marianne Middelveen. ""Actinomycetoma caused by Streptomyces somaliensis."" Archives of dermatology 122.10 (1986): 1097-1098."	Streptomyces somaliensis	78355
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	1907	established	"Southern Jr, Paul M. ""Bacteremia due to Agrobacterium tumefaciens (radiobacter) report of infection in a pregnant woman and her stillborn fetus."" Diagnostic microbiology and infectious disease 24.1 (1996): 43-45."	Agrobacterium tumefaciens	358
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	1907	established	Taylor et al	Leptospira interrogans	173
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1908	established	Taylor et al	Clostridium sporogenes	1509
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	1908	established	Taylor et al	Eubacterium cylindroides	
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	1908	established	Taylor et al	Neisseria sicca	490
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	1908	established	Taylor et al	Staphylococcus epidermidis	1282
Bacteria	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	1908	established	"Caméléna, F., et al. ""Infections caused by Tissierella praeacuta: a report of two cases and literature review."" Anaerobe 40 (2016): 15-17."	Tissierella praeacuta	43131
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	1909	putative	"Rifaat, Mario, et al. ""CME: Fusobacterium nucleatum/naviforme-a Rare but Serious Cause for Pyogenic Liver Abscesses."" Praxis 107.19 (2018): 1007-1012."	Fusobacterium naviforme	77917
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	1909	established	Taylor et al	Nocardia brasiliensis	37326
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	1909	putative	"Sinatra, Jennifer A., and Kate Colby. ""Notes from the field: fatal Vibrio anguillarum infection in an immunocompromised patient—Maine, 2017."" Morbidity and Mortality Weekly Report 67.34 (2018): 962."	Vibrio anguillarum	55601
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1910	established	Taylor et al	Actinobacillus lignieresii	720
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	1910	established	Taylor et al	Eubacterium moniliforme	
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1911	established	Taylor et al	Acinetobacter calcoaceticus	471
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1911	established	Taylor et al	Corynebacterium pseudotuberculosis	1719
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	1911	established	Taylor et al	Eubacterium multiforme	83339
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1912	established	"Mukherjee, Amarshi, et al. ""Rheumatoid arthritis-associated autoimmunity due to aggregatibacter actinomycetemcomitans and its resolution with antibiotic therapy."" Frontiers in immunology 9 (2018): 2352."	Aggregatibacter actinomycetemcomitans	714
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	1912	established	Taylor et al	Bacteroides thetaiotaomicron	818
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	1912	established	Taylor et al	Bordetella bronchiseptica	518
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	1912	established	Taylor et al	Francisella tularensis	263
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1912	established	Taylor et al	Haemophilus actinomycetemcomitans	714
Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	1912	established	"Verma, Rajanshu, Shogofa Morrad, and Jason J. Wirtz. ""Peptoniphilus asaccharolyticus-associated septic arthritis and osteomyelitis in a woman with osteoarthritis and diabetes mellitus."" Case Reports 2017 (2017): bcr-2017."	Peptoniphilus asaccharolyticus	1258
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	1912	established	Taylor et al	Peptostreptococcus asaccharolyticus	1258
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	1913	established	Taylor et al	Bartonella bacilliformis	774
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	1913	established	Taylor et al	Borrelia persica	44448
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	1913	established	"Graves, Margot, et al. ""Four additional cases of Burkholderia gladioli infection with microbiological correlates and review."" Clinical infectious diseases 25.4 (1997): 838-842."	Burkholderia gladioli	28095
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	1913	established	Taylor et al	Burkholderia pseudomallei	28450
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1913	established	Taylor et al	Klebsiella granulomatis	39824
Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	1914	putative	"Chander, Jagdish, Nidhi Singla, and Uma Handa. ""Human cervicofacial mycetoma caused by Streptomyces griseus: First case report."" Journal of Microbiology, Immunology and Infection 48.6 (2015): 703-705."	Streptomyces griseus	1911
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1915	established	Taylor et al	Bacillus coagulans	1398
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1915	established	Taylor et al	Bacillus thuringiensis	1428
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1915	established	Taylor et al	Clostridium fallax	1533
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermatophilaceae	1915	established	Taylor et al	Dermatophilus congolensis	1863
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1916	established	Taylor et al	Hathewaya histolytica	1498
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	1916	established	Taylor et al	Moraxella nonliquefaciens	478
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	1916	established	Taylor et al	Rickettsia prowazekii	782
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	1917	established	Taylor et al	Bartonella quintana	803
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	1917	established	Taylor et al	Borrelia crocidurae	29520
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1917	established	Taylor et al	Clostridium tertium	1559
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1918	established	Taylor et al	Actinobacillus equuli	718
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1918	established	Taylor et al	Clostridium bifermentans	1490
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1918	established	"Biswas, Rakhi, et al. ""Brain abscess and cervical lymphadenitis due to Paraclostridium bifermentans: A report of two cases."" Anaerobe 51 (2018): 8-11."	Paraclostridium bifermentans	1490
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	1918	established	Taylor et al	Providencia rettgeri	587
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	1919	established	"Tena, Daniel, Cristina Fernández, and María R. Lago. ""Alcaligenes faecalis: an unusual cause of skin and soft tissue infection."" Japanese journal of infectious diseases (2014): JJID-2014."	Alcaligenes faecalis	511
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	1919	established	Taylor et al	Campylobacter fetus	196
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1919	established	"Sullivan, S. N., R. J. Darwish, and B. C. Schieven. ""Severe diarrhea due to Clostridium sphenoides: a case report."" Canadian Medical Association Journal 123.5 (1980): 398."	Clostridium sphenoides	29370
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	1919	established	Taylor et al	Enterococcus faecium	1352
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	1919	established	"Shinar, E., E. Leitersdorf, and R. Yevin. ""Lactobacillus plantarum endocarditis."" Klinische Wochenschrift 62.24 (1984): 1173-1174."	Lactobacillus plantarum	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	1919	established	Taylor et al	Morganella morganii	582
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	1919	established	Taylor et al	Rickettsia rickettsii	783
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1919	established	Taylor et al	Serratia proteamaculans	28151
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1919	established	Taylor et al	Shigella flexneri	623
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1919	established	Taylor et al	Streptococcus bovis	1335
